일원/수서/3,,,
수서/가락시장/3,,,
"가락시장/경찰병원/송파/문정/3,8",,,
경찰병원/오금/3,,,
"오금/방이/개롱/3,5",,,
진접/오남/4,,,4호선
오남/별내별가람/4,,,
별내별가람/당고개/4,,,
당고개/상계/4,,,
상계/노원/4,,,
"노원/창동/중계/마들/4,7",,,
쌍문/수유/4,,,
수유/미아/4,,,
미아/미아사거리/4,,,
미아사거리/길음/4,,,
길음/성신여대입구/4,,,
성신여대입구/한성대입구/4,,,
한성대입구/혜화/4,,,
혜화/동대문/4,,,
명동/회현/4,,,
회현/서울역/4,,,
숙대입구/삼각지/4,,,
"삼각지/신용산/녹사평/효창공원앞/4,6",,,
신용산/이촌/4,,,
이촌/동작/4,,,
동작/총신대입구/4,,,
총신대입구/사당/남성/내방/4,,,
남태령/선바위/4,,,
선바위/경마공원/4,,,
경마공원/대공원/4,,,
대공원/과천/4,,,
과천/정부과천청사/4,,,
정부과천청사/인덕원/4,,,
인덕원/평촌/4,,,
평촌/범계/4,,,
범계/금정/4,,,
산본/수리산/4,,,
수리산/대야미/4,,,
대야미/반월/4,,,
반월/상록수/4,,,
상록수/달미/4,,,
달미/한대앞/4,,,
한대앞/중앙/4,,,
중앙/고잔/4,,,
고잔/초지/4,,,
초지/안산/4,,,
안산/신길온천/4,,,
신길온천/정왕/4,,,
정왕/오이도/4,,,
오이도/정왕/4,,,
방화/개화산/5,,,5호선
개화산/김포공항/5,,,
"김포공항/송정/개화/공항시장/5,9",,,
송정/마곡/5,,,
마곡/발산/5,,,
발산/우장산/5,,,
우장산/화곡/5,,,
화곡/까치산/5,,,
신정/목동/5,,,
목동/오목교/5,,,
오목교/양평/5,,,
양평/영등포구청/5,,,
영등포시장/신길/5,,,
"여의도/여의나루/국회의사당/샛강/5,9",,,
여의나루/마포/5,,,
마포/공덕/5,,,
"공덕/애오개/대흥/효창공원앞/5,6",,,
애오개/충정로/5,,,
서대문/광화문/5,,,
광화문/종로3가/5,,,
"청구/신금호/신당/약수/5,6",,,
신금호/행당/5,,,
행당/왕십리/5,,,
마장/답십리/5,,,
답십리/장한평/5,,,
장한평/군자/5,,,
"군자/아차산/어린이대공원/중곡/5,7",,,
아차산/광나루/5,,,
광나루/천호/5,,,
"천호/강동/강동구청/암사/5,8",,,
"강동/둔촌동/길동/5,B",,,
둔촌동/올림픽공원/5,,,
"올림픽공원/방이/한성백제/둔촌오륜/5,9",,,
방이/오금/5,,,
개롱/거여/5,,,
거여/마천/5,,,
마천/거여/5,,,
길동/굽은다리/B,,,
굽은다리/명일/B,,,
명일/고덕/B,,,
고덕/상일동/B,,,
상일동/강일/B,,,
강일/미사/B,,,
미사/하남풍산/B,,,
하남풍산/하남시청/B,,,
하남시청/하남검단산/B,,,
신내/봉화산/6,,,6호선
봉화산/화랑대/6,,,
화랑대/태릉입구/6,,,
"태릉입구/석계/공릉/먹골/6,7",,,
돌곶이/상월곡/6,,,
상월곡/월곡/6,,,
월곡/고려대/6,,,
고려대/안암/6,,,
안암/창신/6,,,
창신/동묘앞/6,,,
버티고개/한강진/6,,,
한강진/이태원/6,,,
이태원/녹사평/6,,,
녹사평/삼각지/6,,,
효창공원앞/대흥/6,,,
대흥/광흥창/6,,,
광흥창/상수/6,,,
상수/합정/6,,,
망원/마포구청/6,,,
마포구청/월드컵경기장/6,,,
월드컵경기장/디지털미디어시티/6,,,
디지털미디어시티/증산/6,,,
증산/새절/6,,,
새절/응암/6,,,
응암/역촌/6,,,
역촌/불광/6,,,
독바위/연신내/6,,,
구산/응암/6,,,
장암/도봉산7,,,7호선
수락산/마들/7,,,
마들/노원/7,,,
중계/하계/7,,,
하계/공릉/7,,,
공릉/태릉입구/7,,,
먹골/중화/7,,,
중화/상봉/7,,,
상봉/면목/7,,,
면목/사가정/7,,,
사가정/용마산/7,,,
용마산/중곡/7,,,
중곡/군자/7,,,
어린이대공원/건대입구/7,,,
뚝섬유원지/청담/7,,,
청담/강남구청/7,,,
강남구청/학동/7,,,
학동/논현/7,,,
논현/반포/7,,,
반포/고속터미널/7,,,
내방/총신대입구/7,,,
남성/숭실대입구/7,,,
숭실대입구/상도/7,,,
상도/장승배기/7,,,
장승배기/신대방삼거리/7,,,
신대방삼거리/보라매/7,,,
보라매/신풍/7,,,
신풍/대림/7,,,
남구로/가산디지털단지/7,,,
철산/광명사거리/7,,,
광명사거리/천왕/7,,,
천왕/온수/7,,,
까치울/춘의/7,,,
춘의/신중동/7,,,
신중동/부천시장/7,,,
부천시장/상동/7,,,
상동/삼산체육관/7,,,
삼산체육관/굴포천/7,,,
굴포천/부평구청/7,,,
부평구청/산곡/7,,,
산곡/석남/7,,,
석남/산곡/7,,,
암사/천호/8,,,8호선
강동구청/몽촌토성/8,,,
몽촌토성/잠실/8,,,
"석촌/송파/송파나루/석촌고분/8,9",,,
송파/가락시장/8,,,
문정/장지/8,,,
장지/복정/8,,,
복정/남위례/8,,,
남위례/산성/8,,,
산성/남한산성입구/8,,,
남한산성입구/단대오거리/8,,,
단대오거리/신흥/8,,,
신흥/수진/8,,,
수진/모란/8,,,
모란/수진/8,,,
개화/김포공항/9,,,9호선
공항시장/신방화/9,,,
